signal,llama,mistral7b,mixtral,qwen
collapsed_rate_mean,-0.11250023953580898,0.04724364344290268,0.007880643784408982,0.2515342939074258
collapsed_rate_mean_zscore,-0.11250023953580893,0.04724364344290267,0.007880643784408968,0.25153429390742593
compound_density_per_100t,-0.007976184664377276,0.055323485404074,-0.023386922491384052,0.4885883874922863
concentration_max_mean,0.04588084808793381,-0.017731759571916327,0.01248662532434062,0.37571804667510295
concentration_min_mean,-0.032641853427499604,0.047239509181609754,-0.01576087166489447,0.4098633496709269
early10_entropy_mean,-0.10719463935512448,0.04436790623282918,0.19183840975584557,-0.19565031228080976
early10_margin_mean,0.08075597501457368,-0.03389718494680653,-0.16739079448909888,0.20870615861661732
early10_surprisal_mean,-0.11049611882167415,0.1511603830632529,0.2077699381247826,-0.14302401357270178
early10_surprisal_slope,0.0038790583208414492,-0.19117408998151447,-0.1448436583522976,-0.011133902345269295
early25p_surprisal_mean,-0.009620641543867861,0.13238053334500652,0.11821885262191376,-0.03804858194357685
early25p_surprisal_slope,0.06127648970866608,-0.17205804369165362,-0.0893321530813876,-0.036347073682954194
early50p_entropy_slope,0.06897123168661871,-0.06410519171679997,-0.027518063404921706,0.03387961560505665
early50p_surprisal_slope,0.08362715346784136,-0.1516209991764812,-0.09454487218108913,0.033655389560403225
entropy_max,0.06344584301919153,-0.029849332433161065,0.09057215586463611,-0.3983619072353234
entropy_range,0.06344584301919153,-0.029849332433161065,0.09057215586463611,-0.3983619072353234
entropy_range_approx,0.054139520635852534,-0.031711214918927276,0.08996099047528637,-0.3894490816191079
focused_head_mean,-0.1036316711978624,0.023734331256785784,-0.01792691155078084,0.32911114584431844
focused_head_mean_zscore,-0.10363167119786239,0.023734331256785784,-0.01792691155078085,0.32911114584431844
focused_head_rate,-0.1036316711978624,0.023734331256785784,-0.01792691155078084,0.3291111458443184
l2_norm_slope,0.09154070677160939,-0.052154309851624,-0.030633200024581968,-0.45951600750798977
perplexity_max,0.062350435619419754,-0.007420614384910181,0.13200693024726173,-0.2598107830706963
surprisal_early_late_delta,0.06611417519990193,-0.1144167633969085,-0.0946208662094072,-0.13840078984439555
surprisal_slope,0.0361224570871439,-0.14328448779372582,-0.07770806907199602,-0.11457788729926549
topk_mass_mean,-0.021839880592484498,-0.04224687880875835,-0.07550718060082663,0.02537791928837283
topk_mass_std,0.037635081964043735,0.025096617586845102,0.12648291407538342,-0.1176105287233042
